iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,take_profit_pct,stop_loss_pct,max_hold_days,trend_ma_fast,trend_ma_slow,trend_ma_long,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,profit_factor,score,penalty
1,1191,0.01,-0.04,0.01,0.85,0.006,0.0,4.0,20.0,60.0,120.0,149.0,0.8389261744966443,-0.3155565771812082,0.439088,-11.429375,0.439088,0.5386053315117479,839.8421253004196,0.0
1,2487,0.01,-0.03,0.01,0.85,0.006,0.0,4.0,20.0,60.0,120.0,149.0,0.8389261744966443,-0.3155565771812082,0.439088,-11.429375,0.439088,0.5386053315117479,839.8421253004196,0.0
1,3783,0.01,-0.02,0.01,0.85,0.006,0.0,4.0,20.0,60.0,120.0,149.0,0.8389261744966443,-0.3155565771812082,0.439088,-11.429375,0.439088,0.5386053315117479,839.8421253004196,0.0
1,5079,0.01,-0.01,0.01,0.85,0.006,0.0,4.0,20.0,60.0,120.0,149.0,0.8389261744966443,-0.3155565771812082,0.439088,-11.429375,0.439088,0.5386053315117479,839.8421253004196,0.0
1,1190,0.01,-0.04,0.01,0.85,0.006,0.0,3.0,20.0,60.0,120.0,150.0,0.8333333333333334,-0.2499092466666668,0.439088,-10.592973,0.439088,0.5941818955052006,839.3573896419268,0.0
1,2486,0.01,-0.03,0.01,0.85,0.006,0.0,3.0,20.0,60.0,120.0,150.0,0.8333333333333334,-0.2499092466666668,0.439088,-10.592973,0.439088,0.5941818955052006,839.3573896419268,0.0
1,3782,0.01,-0.02,0.01,0.85,0.006,0.0,3.0,20.0,60.0,120.0,150.0,0.8333333333333334,-0.2499092466666668,0.439088,-10.592973,0.439088,0.5941818955052006,839.3573896419268,0.0
1,5078,0.01,-0.01,0.01,0.85,0.006,0.0,3.0,20.0,60.0,120.0,150.0,0.8333333333333334,-0.2499092466666668,0.439088,-10.592973,0.439088,0.5941818955052006,839.3573896419268,0.0
1,975,0.01,-0.04,0.01,0.65,0.006,0.0,4.0,20.0,60.0,120.0,84.0,0.8333333333333334,-0.3525169166666667,0.439088,-11.429375,0.439088,0.5093188407999328,832.4153562066634,0.0
1,2271,0.01,-0.03,0.01,0.65,0.006,0.0,4.0,20.0,60.0,120.0,84.0,0.8333333333333334,-0.3525169166666667,0.439088,-11.429375,0.439088,0.5093188407999328,832.4153562066634,0.0
