iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,hard_stop_ratio,take_profit_pct,max_hold_days,max_wait_days,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,profit_factor,score,score_median,score_std
1,140,0.42,-0.02,0.05,0.8,0.98,0.12,10.0,25.0,11.0,0.45454545454545453,2.4393727272727275,-0.6592,-3.3154,12.0,3.326555915861758,-235702256.42219475,5.4937000000000005,471404523.8317895
1,284,0.43,-0.02,0.08,0.8,0.98,0.12,10.0,25.0,11.0,0.45454545454545453,2.4393727272727275,-0.6592,-3.3154,12.0,3.326555915861758,-235702256.42219475,5.4937000000000005,471404523.8317895
1,428,0.41,-0.02,0.1,0.8,0.98,0.12,10.0,25.0,11.0,0.45454545454545453,2.4393727272727275,-0.6592,-3.3154,12.0,3.326555915861758,-235702256.42219475,5.4937000000000005,471404523.8317895
1,572,0.42,-0.01,0.05,0.8,0.98,0.12,10.0,25.0,11.0,0.45454545454545453,2.501736363636364,-0.6592,-3.3154,12.0,3.3860353408361794,-235702256.50304064,5.4937000000000005,471404523.9934813
1,716,0.44,-0.01,0.08,0.8,0.98,0.12,10.0,25.0,11.0,0.45454545454545453,2.501736363636364,-0.6592,-3.3154,12.0,3.3860353408361794,-235702256.50304064,5.4937000000000005,471404523.9934813
1,860,0.43,-0.01,0.1,0.8,0.98,0.12,10.0,25.0,11.0,0.45454545454545453,2.501736363636364,-0.6592,-3.3154,12.0,3.3860353408361794,-235702256.50304064,5.4937000000000005,471404523.9934813
1,139,0.42,-0.02,0.05,0.8,0.98,0.12,10.0,15.0,10.0,0.5,3.01485,-0.09175,-2.6065,12.0,4.668593331710879,-235702257.23254588,5.4937000000000005,471404525.45249176
1,283,0.42,-0.02,0.08,0.8,0.98,0.12,10.0,15.0,10.0,0.5,3.01485,-0.09175,-2.6065,12.0,4.668593331710879,-235702257.23254588,5.4937000000000005,471404525.45249176
1,427,0.51,-0.02,0.1,0.8,0.98,0.12,10.0,15.0,10.0,0.5,3.01485,-0.09175,-2.6065,12.0,4.668593331710879,-235702257.23254588,5.4937000000000005,471404525.45249176
1,571,0.42,-0.01,0.05,0.8,0.98,0.12,10.0,15.0,10.0,0.5,3.08345,0.25125,-2.6065,12.0,4.752068629836943,-235702257.31339177,5.4937000000000005,471404525.61418355
