symbol,name,market,key_level_type,key_level,breakout_date,entry_date,exit_date,entry_price,exit_price,ret_pct,exit_reason,entry_year
000006,深振业Ａ,0,MA120,4.989,2023-07-31,2023-08-08,2023-08-11,5.05,5.656,12.0,止盈,2023
000001,平安银行,0,MA60,11.829667,2023-07-28,2023-08-16,2023-08-17,11.67,11.593073,-0.6592,止损,2023
000006,深振业Ａ,0,MA60,4.652333,2023-11-21,2023-11-28,2023-11-30,4.68,4.559287,-2.5793,止损,2023
000007,全新好,0,MA60,4.830167,2023-11-30,2023-12-11,2023-12-22,4.76,4.85,1.8908,时间止盈,2023
000001,平安银行,0,High60,10.35,2024-02-21,2024-02-28,2024-03-12,10.51,10.56,0.4757,时间止盈,2024
000001,平安银行,0,High60,11.24,2024-05-17,2024-05-27,2024-06-03,11.31,11.0152,-2.6065,止损,2024
000002,万 科Ａ,0,MA60,8.549167,2024-05-17,2024-05-30,2024-05-30,8.49,8.378183,-1.317,止损,2024
000006,深振业Ａ,0,MA60,3.755833,2024-08-06,2024-08-13,2024-08-13,3.72,3.680717,-1.056,止损,2024
000007,全新好,0,MA120,4.596,2024-08-28,2024-09-05,2024-09-19,4.58,5.1296,12.0,止盈,2024
000006,深振业Ａ,0,High60,4.07,2024-09-03,2024-09-12,2024-09-26,4.12,4.6144,12.0,止盈,2024
000006,深振业Ａ,0,High60,8.82,2024-10-28,2024-12-05,2024-12-16,8.94,8.6436,-3.3154,止损,2024
