code,name,price,alpha,volume_ratio,tail_attack,bid_ask,technical_score,financial_score,sentiment_score,sector_match_score,overall_score,recommendation,confidence,risk_level,related_sectors,recent_news
301173,毓恬冠佳,47.28,0.897,1.45,0.0045,0.25,70,45,50,0,52.8,谨慎关注 ⚠️,中等,中等风险,[],[]
001210,金房能源,24.1,0.856,1.35,0.0063,-0.13,55,60,50,0,49.8,谨慎关注 ⚠️,中等,低风险 ✅,[],[]
688031,星环科技,207.5,0.712,2.18,0.0073,0.78,65,40,50,0,49.2,谨慎关注 ⚠️,中等,中高风险,[],[]
603090,宏盛股份,82.9,0.744,2.74,0.0038,-0.25,50,60,50,0,47.5,谨慎关注 ⚠️,中等,低风险 ✅,[],[]
301052,果麦文化,45.73,0.791,1.44,0.0124,-0.21,50,45,50,0,43.8,观望,低,中等风险,[],[]
603813,*ST原尚,33.0,0.784,2.52,0.0107,-0.41,60,25,50,0,43.2,观望,低,高风险 ⚠️,[],[]
301360,荣旗科技,82.74,0.756,1.21,0.0036,-0.49,40,45,50,0,39.2,观望,低,中等风险,[],[]
688017,绿的谐波,242.38,0.797,1.16,0.0066,-0.26,40,40,50,0,38.0,观望,低,中高风险,[],[]
688309,恒誉环保,35.38,0.764,1.08,0.0048,-0.34,40,40,50,0,38.0,观望,低,中高风险,[],[]
000972,*ST中基,3.57,0.769,0.9,0.0056,-0.16,25,25,50,0,27.5,观望,低,高风险 ⚠️,[],[]
000793,ST华闻,2.69,0.732,0.8,0.0075,-0.32,25,25,50,0,27.5,观望,低,高风险 ⚠️,[],[]
